"film_id","title","name","revenue","mode_year","mode_language_id","mode_rating"
911,"Trip Newton","Action",104.79,2006,1,"PG-13"
103,"Bucket Brotherhood","Travel",104.79,2006,1,"PG"
767,"Scalawag Duck","Music",104.79,2006,1,"NC-17"
263,"Durham Panky","Sports",94.81,2006,1,"R"
330,"Forrester Comancheros","Animation",94.81,2006,1,"NC-17"
86,"Boogie Amelie","Music",89.82,2006,1,"R"
127,"Cat Coneheads","Comedy",89.82,2006,1,"G"
167,"Coma Head","Travel",89.82,2006,1,"NC-17"
521,"Lies Treatment","Drama",84.83,2006,1,"NC-17"
915,"Truman Crazy","Action",84.83,2006,1,"G"
239,"Dogma Family","Animation",84.83,2006,1,"G"
31,"Apache Divine","Family",84.83,2006,1,"NC-17"
10,"Aladdin Calendar","Sports",79.84,2006,1,"NC-17"
804,"Sleeping Suspects","Horror",79.84,2006,1,"PG-13"
961,"Wash Heavenly","Foreign",79.84,2006,1,"R"
845,"Stepmom Dream","Foreign",79.84,2006,1,"NC-17"
212,"Darn Forrester","Action",74.85,2006,1,"G"
320,"Flamingos Connecticut","New",74.85,2006,1,"PG-13"
856,"Streetcar Intentions","Horror",74.85,2006,1,"R"
556,"Maltese Hope","Games",74.85,2006,1,"PG-13"
412,"Heavyweights Beast","Documentary",74.85,2006,1,"G"
172,"Coneheads Smoochy","Drama",74.85,2006,1,"NC-17"
609,"Muscle Bright","Travel",71.76,2006,1,"G"
48,"Backlash Undefeated","Children",69.93,2006,1,"PG-13"
255,"Driving Polish","Music",69.86,2006,1,"NC-17"
603,"Movie Shakespeare","Family",69.86,2006,1,"PG"
174,"Confidential Interview","Music",69.86,2006,1,"NC-17"
123,"Casablanca Super","Travel",69.86,2006,1,"G"
614,"Name Detective","Games",69.86,2006,1,"PG-13"
668,"Peak Forever","Sports",69.86,2006,1,"PG"
131,"Center Dinosaur","Classics",69.86,2006,1,"PG"
676,"Philadelphia Wife","Sports",69.86,2006,1,"PG-13"
979,"Witches Panic","Drama",69.86,2006,1,"NC-17"
745,"Roses Treasure","Sports",69.86,2006,1,"PG-13"
922,"Undefeated Dalmations","Horror",69.86,2006,1,"PG-13"
995,"Yentl Idaho","Horror",69.86,2006,1,"R"
456,"Inch Jet","Animation",69.86,2006,1,"NC-17"
789,"Shock Cabin","Foreign",68.77,2006,1,"PG-13"
559,"Married Go","Sci-Fi",65.78,2006,1,"G"
827,"Spice Sorority","Drama",64.87,2006,1,"NC-17"
61,"Beauty Grease","Drama",64.87,2006,1,"G"
253,"Drifter Commandments","Action",64.87,2006,1,"PG-13"
637,"Open African","Sci-Fi",64.87,2006,1,"PG"
307,"Fellowship Autumn","Travel",64.87,2006,1,"NC-17"
354,"Ghost Groundhog","Children",64.87,2006,1,"G"
403,"Harry Idaho","Drama",64.87,2006,1,"PG-13"
45,"Attraction Newton","New",64.87,2006,1,"PG-13"
776,"Secret Groundhog","Documentary",64.87,2006,1,"PG"
451,"Igby Maker","Travel",64.87,2006,1,"NC-17"
683,"Pity Bound","Drama",64.87,2006,1,"NC-17"
117,"Candles Grapes","Games",64.87,2006,1,"NC-17"
334,"Freddy Storm","Horror",64.87,2006,1,"NC-17"
735,"Robbers Joon","Children",62.79,2006,1,"PG-13"
1000,"Zorro Ark","Comedy",59.94,2006,1,"NC-17"
879,"Telegraph Voyage","Music",59.94,2006,1,"PG"
444,"Hustler Party","Comedy",59.94,2006,1,"NC-17"
563,"Massacre Usual","Games",59.88,2006,1,"R"
941,"Videotape Arsenic","Games",59.88,2006,1,"NC-17"
500,"Kiss Glory","Foreign",59.88,2006,1,"PG-13"
902,"Trading Pinocchio","Sports",59.88,2006,1,"PG"
100,"Brooklyn Desert","Foreign",59.88,2006,1,"R"
84,"Boiled Dares","Travel",59.88,2006,1,"PG"
843,"Steel Santa","Classics",59.88,2006,1,"NC-17"
88,"Born Spinal","Travel",59.88,2006,1,"PG"
715,"Range Moonwalker","Family",59.88,2006,1,"PG"
644,"Oscar Gold","Animation",59.80,2006,1,"PG"
234,"Disturbing Scarface","Sci-Fi",59.80,2006,1,"R"
638,"Operation Operation","Comedy",59.80,2006,1,"G"
288,"Escape Metropolis","Travel",56.81,2006,1,"R"
